group_name,message,comment,ex_message,name
5. КОНЦЕПЦИИ И ЦЕЛИ ДЕЯТЕЛЬНОСТИ,18,"Установки, идеи","Всем привет!)
Столкнулся с лекцией «Структура нейрофизиологический процессов, протекающих в мозге человека при выборе картинок для сайтов»

Вряд ли кто-нибудь задумывался, какие структуры головного мозга задействованы в такой простой, на первый взгляд, задаче. Как оказалось, во время поиска и подбора картинок, в нашем мозге, образ картинки вызывает ассоциации с определенной эмоциональной окраской, за счет пережитого опыта. Также они могут быть разными по эмоциональной силе. Не мало важную роль играет эмоциональная значимость поставленной перед нами задачи. Если она имеет низкую значимость, то гипоталамус вырабатывает меньшее количество нейропептидов, тем самым образ будет иметь недостаточную итоговую эмоциональную окраску. Для успешной работы необходима выработка именно позитивных нейропептидов.

Для меня это стало открытием.",5. КОНЦЕПЦИИ И ЦЕЛИ ДЕЯТЕЛЬНОСТИ
6. КОРПОРАТИВНАЯ КУЛЬТУРА,16,"Установки, идеи","Доброго утра всем! на одном из совещаний Валерий Николаевич говорил про ритуалы, с помощью которых некоторые племена предопределяют модель жизни (и в какой-то степени - судьбу) человека. Ниже ссылка на статью про них. Чтение бодрит сильнее чем кофе)) Можно составить рейтинг ""ужасности"" - у меня есть однозначный фаворит в этом  рейтинге)

#УМЕЙДУМАТЬ: когда про племена говорим - кажется, что это совсем про что-то далекое, страшные сказки. А в современном обществе, и в обществе модерна есть яркие обряды инициации? кто, что может вспомнить?

Ссылка на статью: https://zen.yandex.ru/media/biletikaero/neveroiatnye-obriady-iniciacii-5f3d16de8fb19a32ac521adc",6. КОРПОРАТИВНАЯ КУЛЬТУРА
5. КОНЦЕПЦИИ И ЦЕЛИ НИУМД,13,"Установки, идеи","Как мы уже думаю убедились, универсальные учебные программы работают не очень успешно. Выход ""годных"" слишком мал. Поэтому научно-методическая мысль пошла по пути выявления проблем, которые мешают конкретному человеку быть эффективным в сложных видах деятельности, чтобы затем эти индивидуальные проблемы направленно решать. Предлагаю ознакомиться с учебным материалом о том, от каких факторов зависит работа нашего воображения, образного интеллекта, ЭЧВ и ЭЧМ.",5. КОНЦЕПЦИИ И ЦЕЛИ НИУМД
Первая помощь начинающим,12,"Подбадривающие сообщения для сотрудников, слова поддежки, новости компании","Добрый день, друзья!☀️

Одна из самых нелюбимых и постоянно оттягиваемых всеми задач - написание служебных записок📝. Почему многие так не любят это дело? Порой кажется, что это - бесполезная ""бумажка"", но на самом деле служебная записка - это закрепленная договоренность и основание для выполнения дальнейших работ, именно поэтому мы с вами будем учиться быстро и качественно заполнять служебные записки, чтобы потом вы их щелкали как орешки 😁🌰🥜

Начнем мы с **предоставления Пользователю доступа к формам СЭДО**.

Для того, чтобы вы могли скачать нужный вам документ, к нему необходимо получить доступ. Сделать это просто:
1. ⬇ [Скачиваем шаблон СЗ из системы](https://l.workplace.com/l.php?u=https%3A%2F%2Fsed.efko.ru%2Fnormative-documents%2Findex&h=AT0Vmb3JtaO-VlLtm0o-onQbxz4Nx3VAiPdhaSXR0KyEcsd1CRsU-pJ8AX7E_ZpmPwgs5KSILSgZALLMpInbs-sV4GH5iwLk2GjBuYMRQgyFZeeL2LiSCZA_8pXsrRipUc1griDHJojUTk0H&__tn__=-UK-R&c[0]=AT2fkjsI8T3HhT9ZkZPsdTDRL-A9Hoi8nQTqpEWRGLNL0IfRleONCkvTVRNePk2nCLqQzUGfUoS_ctmcSnx11UASdRr6IXlXnXyJu3yT0NfHr-qKrrlxdasjQjejxU86nePN1hdewNgF970DLHvLnWntJ8ZGWrl__Gl78pOT1Qyskxa4MqBzA0hY0OmQP5BAL8WeHY06KzfnI7lHu28) (раздел НР)
2. Заполняем данные Пользователя 👤, которому необходимо предоставить доступ к формам - ФИО, логин, организация и должность
3. Заполняем данные форм 📂(их вы можете найти, нажав на значок ""Глазик"" (просмотр) в поле формы)
4. Согласовываем СЗ 🖌с непосредственным руководителем, руководителем направления (Исполнительный директор, Директор по стратегическому менеджменту, Директор по инновациям) и Руководителем Службы контроля общекорпоративных норм
При согласовании настоятельно рекомендую пользоваться системой WSSD 💻- это и проще, и удобнее, да и потеряться электронный документ не может 😉. Также в рассылку 📤 ставьте администратора форм СЭДО, к которым требуется предоставление доступа (в ИЦ это **[Карина Сподина](https://icbirucnt686.workplace.com/profile.php?id=100053467892894)**)
Если будут возникать какие-то вопросы - смело обращайтесь к Карине, она вам обязательно поможет",Первая помощь начинающим
8. ВНЕШНИЙ МИР,11,"Мероприятия, командировки, новости","После исследования в г.Белгород сразу отправилась в Москву. Хочется сказать, что люди здесь отличаются, но пока проводили исследование поняла, что не так уж и сильно. Познакомились с рекрутерами и интервьюерами, они поделились своим опытом, своими впечатлениями о вегетарианцах. Они же рассказали мне очень занимательную историю, которая очень сильно меня удивила. Итак, начнем с того, что здесь людям за участие платят немного меньше, но даже за небольшие деньги они готовы на все. Агенство пригласило вегетарианцев за определенное материально вознаграждение, но пришло несколько больше людей, чем того требовалось. Все материальное вознаграждение досталось тем, кто пришел пораньше, а те, кто не успел - устроили бунт. Они заперли в помещении организаторов, кричали, требовали, чтобы им отдали деньги. На минуточку, это было в центре Москвы! В такие моменты думаешь: «Надо же, и такое бывает». Чем закончилась история мне так и не рассказали, но возьму на замету, что вегетарианцев тоже лучше не злить, они могут быть даже страшнее.",8. ВНЕШНИЙ МИР
"Рекрутинг (""Первое знакомство"")",10,"Интервью, идеи, новости","Всем доброго дня! 🌞

Продолжаем выкладывать интервью с сотрудниками Аналитического подразделения.

Сегодняшний наш гость - Каменева Елена.

***В: ""Как долго ты работаешь в Компании ЭФКО?""***

Е: ""В компании я работаю порядка 7-ми месяцев.""

***В: ""Откуда ты узнала о Компании?""***

Е: ""Я узнала о компании в тот момент, когда я еще училась в университете и мой научный руководитель предложила мне поучаствовать в конкурсе. А я хотела тогда писать диплом с привязкой к какой-либо компании, чтобы в дальнейшем - сотрудничать. То есть хотелось параллельно работать с теорией и связать с ней практику. И так сложилось, что мой научный руководитель узнал о Компании ЭФКО и предложила мне принять участие в конкурсе. Я тогда не долго думая решила поучаствовать в аналитическом конкурсе. Тема называлась ""анализ позитивный и негативных свойств растительного мяса"". Я в ту секунду так заинтересовалась, хотя я не изучала тему растительного мяса и благодаря этой теме побольше узнала о компании, заинтересовалась и так получилось, что я выиграла конкурс и оказалась здесь - в ЭФКО. Видимо, это судьба 😁""

***В: ""Какая у тебя сфера деятельности. И чем занимаешься?""***

Е: ""Сейчас я занимаюсь аналитикой в области дронов. Я оцениваю инвестиционную привлекательность стартапов, которые занимаются беспилотными авиационными системами, и выступаю в роли некого эксперта, хотя это громко звучит, но это уже какая-то определенная ответственность поскольку ты среди множество стартапов отбираешь тот который будет наиболее привлекателен по нескольким параметрам и потом это все отбирается в зависимости от твоей оценки. Это интересно, ответственно и я даже и не думала, что когда-нибудь буду заниматься аналитикой по дронам, а тут вот так вот все сложилось. Узнаешь много интересного в короткие сроки. Нигде такого опыта не получишь, кроме как здесь.""

***В: ""Когда ты решилась приехать сюда, у тебя были какие-нибудь ожидания от данного места и сферы твоей деятельности?""***

Е: ""Начну с того, что я сюда пришла изначально не аналитиком, а меня взяли маркетологом. Я думала, что я буду заниматься анализом целевых аудиторий, анализом рынка, потому что по образованию я социолог, и думала что больше с людьми буду иметь связь. То есть смотреть предпочтения людей, общаться с ними, но как-то судьба занесла меня в аналитику и я оказалась в аналитическом отделе, и имею дело не с людьми, а инновационными проектами. Кто-то занимается топливными элементами, кто-то фуд.техом, хотя какое-то время я тоже занималась фуд.техом и было очень интересно, но инновации в совокупности достаточно сложно, и в какой-то проект нужно сначала углубиться, чтобы понять на сколько он привлекателен, есть ли смысл внедрить его в компанию, а не что бы это было на уровне идеи. То есть я в принципе не представляла, что придется работать с дронами, думала придется изучать технические характеристики летательных аппаратах. И я так же никогда не имела дела с инвестициями, не оценивала инвестиционную привлекательность, и не рассматривала конкретные идеи в области дронов. А тут получилось так, что приходится быстро во всем этом разбираться, понимать о чем идет речь и как это можно воплотить в компанию.""

 ***В: ""Оправдались ли твои ожидания от работы? Даже не смотря на то, что ты работаешь немного в другом направлении. Может думала, что приедешь, а тут скучно, или наоборот, все нравится.""***

Е: ""Вообще мне ни капельки не скучно, хотя да, были мысли о том, что аналитика - это скучно. Я когда работала на позиции маркетолога, то слышала от других, что аналитика может показаться скучной, потому что нужно постоянно изучать, что-то читать. Хотя я сама любознательная. Но так получилось, что я резко переключилась на дроны и для меня это показалось очень интересным, поскольку то, что мне кажется совсем незнакомым, для меня появляется какая-то цель изучить это так, чтобы данное занятие стало мне близко по духу и я могла дальше в этом направлении развиваться. И в силу того, что я очень скрупулезная и тщательная, то я долгое время пыталась сама погрузиться в эту тему, и не сказать, что сейчас в должной мере могу полностью быть уверенной, что я разбираюсь в дронах, совсем нет 😄, данная тема очень необъятная для меня, но интересно постоянно изучать что-то новое. Например в новостях изучаешь, каждую неделю оформляешь дайджест - и открываешь что-то новое для себя. Очень интересно осознавать, что ты являешься частью чего-то большего, что пока еще не полностью реализовано.""

***В: ""Отлично! А что тебе больше всего нравится в твоей работе?""***

Е: ""Наверное, узнавать что-то новое и у меня, например, раньше не было такой способности - переключаться из одной сферы деятельности в другую, я даже как-то раньше сопротивлялась, а сейчас это очень для меня ценно, когда я могу из одного направления перескочить в другое,  и при этом что-то новое для себя изучить. Плюс я развиваюсь, становлюсь разносторонним человеком и могу принести пользу компании.""

***В: ""Чему ты научилась на работе и пользуешься ли этими знаниями/умениями в повседневной жизни?""***

Е: ""По своей природе я человек очень медлительный и такая специфика деятельности, а еще когда внедрили КПГ, различные задачи, то приходится работать шустрее. И плюс ко всему багаж знаний, который я тут получаю, он копится благодаря различным лекциям, сторонним знаниям по каким-то направлениям. Я стала шустрее, заинтересованнее, более разностороннее.""

***В: ""Очень полезные умения, надо бы тоже поучиться ***😆. ***Ну и последний вопрос: Какие у тебя дальнейшие планы?""***

Е: ""Я думаю, что аналитика это только начало, но я бы хотела реализовать себя в иной сфере, все же по образованию я больше социолог, и мне бы хотелось больше понимать потребности людей, углубляться в их ценностные ориентации, вот что-то такое. Я сейчас больше обезличенной сферой занимаюсь, то есть нет плотного общения с людьми, а лишь старпаты. А хотелось бы попробовать себя в чем-то другом еще, то есть аналитика - это интересно, но это не совсем то, что мне было бы по душе, хотя это мне нравится. И поскольку я еще молодой специалист, мне бы хотелось попробовать себя в разных сферах, и где я принесу больше пользы, там и хотелось бы себя реализовать. Да и ""хотелки"" бы было бы здорово внести в свою сферу деятельности, покреативить, в общем 😄, возможно с людьми больше работать.""","Рекрутинг (""Первое знакомство"")"
10. ПРОГРАММЫ РАЗВИТИЯ И АТТЕСТАЦИЯ,9,"Идеи про развитие персонала, новости аттестации","#УМЕЙДУМАТЬ: Доброго вечера всем участникам. Недавно большинство из вас ознакомилось с лекцией Дугина из курса Структурной социологии, где доступно рассказывается об обществах предмодерна, модерна и постмодерна. Напишите пожалуйста, что вам больше всего впечаталось в память из этой лекции

Для тех кто не смотрел, прикладываю ссылку на лекцию:

https://www.youtube.com/watch?v=3ZCoYSAediE&list=PLpJKCcJmzXQWYZ7xAEF7_TShDmUCWNO_n&index=11",10. ПРОГРАММЫ РАЗВИТИЯ И АТТЕСТАЦИЯ
1. ПЕРВОЕ ЗНАКОМСТВО,7,,"*«Работа в Брендовом управлении предполагает наличие широкого кругозора и наличие собственного мнения в отношении зарождающихся тенденций и сформированных трендов в мире дизайна, рекламы, инноваций и потребительского поведения. С целью формирования собственного мироощущения, сотрудники Брендового управления регулярно отправляются в заграничные командировки для посещения международных выставок и конференций, проведения маркетинговых исследований. Да и просто, чтобы вдохновиться и наполнить голову идеями.*

*По результатам поездок ребята готовят два отчета: первый – чтобы поделиться с коллегами идеями (примеры дизайна, фото с выставок и т.д.). И второй – чтобы поделиться с коллегами эмоциями (фотографии с поездки и неформальных мероприятий). Отчеты с поездок можно посмотреть в группе «Внешние коммуникации».*

*https://fb.me/g/Vv02yqt7/y1DjcuLk*",1. ПЕРВОЕ ЗНАКОМСТВО
ПСК,5,,"Вот и лето прошло...Подводим итоги августа...⌛️🏆
По моему мнению явно ""повзрослели"" Молодид О. и Козаренко А., чему я не могу не порадоваться, поэтому по итогам месяца решено выдать Вам MakBook-и. 🥳
Ляшенко Д., тоже серьезно ""подтянулся"" в эффективности, были неплохие ""нервы событий"", но для того, чтобы этот параметр ""позеленел"" нужно их устранить) Поэтому считаю, что заслужил одну субботу в сентябре - выходной!🤩",ПСК
Внешние научные коммуникации,5,,"Здравствуйте, коллеги  

Пусть и с опозданием, но публикую отчет о своей поездке в Новосибирск на конференцию Технопром-2021.  

На этой конференции удалось поучаствовать в пленарной сессии ""**Генетические технологии для промышленности, фармокологии и медицины"" **под председательством Академика РАН, Директора Института цитологии и генетики СО РАН Кочетова В.А. 

В рамках данной сессии я выступил с двумя докладами:   

1) **Адаптация компании к новым трендам развития на примере ЭФКО  **

2) **Проблема подготовки кадров в области генетики и генетических технологий  **

Результатом выступлений стало формирование многих новых знакомств, в том числе - с Академиком РАН, Директором Всероссийского института растениеводства Хлесткиной Е.К. В рамках этого знакомства планируется поездка делегации из Инновационного центра в Санкт-Петербург для построения дальнейшего партнерства.",Внешние научные коммуникации
1. РЕКРУТИНГ,4,,"Здравствуйте! 👋

Вы попали в социальную сеть службы директора по научно- и учебно-методической деятельности компании ЭФКО 🖥🖱. Чтобы стать Вам более понятными и прогнозируемыми, мы предлагаем Вам ненадолго «нырнуть» 🌊 в жизнь нашей службы 👫.

Специально для Вас, мы сделали несколько постов 📝, описывающих некоторые элементы жизни и работы сотрудников, а также приложили ссылки 🔗 на разделы, где можно посмотреть программы гарантированного карьерного роста 📈, некоторые результаты работ 📑, фотографии из командировок 📸🏙, планы работ на предстоящий период 🔜и т.п. Увидев все это, Вы сможете сложить свое представление о нашей работе🤓.

Цель 🎯руководства  службы директора по научно- и учебно-методической деятельности в  отношении персонала –  это максимальное раскрытие потенциала каждого  сотрудника 🤩 в результате деятельности, направленной на обеспечение лидерства Компании🏆.",1. РЕКРУТИНГ
2. ПЕРВЫЙ ПРОЕКТ,4,,"Всем привет! Уже месяц прошёл, как я присоединилась к компании. Каждый день здесь наполнен невероятным количеством эмоций) Я уже успела съездить на два исследования, одно из которых было вчера. Мы вместе с Ангелиной участвовали в исследовании «у полки». Мы опрашивали людей, смотрели, как растительные йогурты Hi смотрятся рядом с другими продуктами и что портит визуально нашу полку, а также наблюдали за реакцией людей на новый продукт) Нам очень понравилось. Привезли с собой очень много эмоций, а также идей) Успели сделать кучу фотографий и снять несколько видеороликов)",2. ПЕРВЫЙ ПРОЕКТ
Концепции и цели деятельности,3,,"Добрый день. В ходе аналитической деятельности часто приходится искать интересные проекты, идеи и технологии. На этой неделе был найден интересный отчет  крупного аналитического агентства RethinkX, которое прогнозирует серьезные изменения в будущем в энергетической сфере, транспорте, пищевой промышленности. Хотел бы поделиться с вами. Отдельно хотел бы сказать большое спасибо всем, кто участвовал в переводе этой работы.",Концепции и цели деятельности
8. ВНЕШНИЕ КОММУНИКАЦИИ,3,,"Как написали в паблике ОмГТУ в ВК, 25 февраля в университете прошла встреча студентов ОмГТУ с заместителем директора  по корпоративным программам обучения научно-образовательного центра  «Бирюч» Сергеем Шашковым. Он познакомил  студентов с методикой отбора персонала в компанию ""ЭФКО"", рассказал об основных  требованиях к кандидатам и необходимых для сотрудников компетенциях. 

Все правильно написали. И добавить нечего)) 

Мне кажется, были хорошие ребята. С кем-то из них обязательно встретимся еще)",8. ВНЕШНИЕ КОММУНИКАЦИИ
Первое знакомство,3,,"Добрый день, при трудоустройстве в Инновационный центр сотрудника нередко ""накрывает"" 🌊огромной волной различных документов, которые ему необходимо знать для исполнения своих должностных обязанностей. Поэтому для защиты🛡вашей головы от сильных потрясений, предлагаем ознакомиться с Кратким содержанием основных и общехолдинговых нормативных регуляторов 📄(т.е. документов).
> Возможно какой-то документ был упущен😅, поэтому не стесняйтесь сказать об этом, и тогда мы сможем быстро⏳ подготовить краткое содержание недостающего документа.",Первое знакомство
