,updated_time,message,story,id,community,group_id,author_name,author_id,message_len,group_name
142,2021-01-27T08:51:18+0000,"Данный раздел позволяет сотрудникам повышать уровень своих компетенций (свойства и способности), чтобы в будущем занять следующую ступень в системе плавающих СРП. И это не ""пустые"" слова, так как в этом разделе каждый сотрудник имеет возможность записаться на тренинг и выбрать развивающие задачи. При этом руководитель оставляет за собой право «навязать» какую-то практическую развивающую задачу сотруднику, если чувствует критичную необходимость в этом для развития сотрудника.",Ляшенко Денис updated the description of the group ПСК.,622548491862569_854938605290222,0,622548491862569,Ляшенко Денис,100053569764332,479,ПСК
182,2020-03-15T05:56:27+0000,"Добрый день! Публикую **оценку ПСК в рамках  ""плавающих СРП"" за прошедшую неделю.**📊

**!!! За нарушение ""красных"" линий за первый раз - назначена трудотерапия:мытье полов. **

К сожалению, по уважительным причинам практически все участники тренинга по ""актерскому мастерству"" 🎭, были сняты с него, но мы можем всеми порадоваться, что Аня дошла успешно до финала и была в тройке лучших!!! 🏆 С чем мы ее и ПОЗДРАВЛЯЕМ!💐 

P.S. остальных прошу не вешать нос 🤩, тренинг будет организован снова и мы верим, что вы его завершите успешно! Просто пока не ваше время 😉",Анна Ворожбянова uploaded a file in the group: ПСК.,622548491862569_634371264013625,0,622548491862569,Анна Ворожбянова,100045709207681,560,ПСК
407,2019-12-23T08:14:36+0000,"‼️Переработка подсолнечника является достаточно низкодоходным бизнесом по причине отсутствия технологичности производимых продуктов – масла и шрота.

В части создания надбавленной стоимости подсолнечного масла Компанией уже проделана огромная работа. Компания производит брендовую продукцию (фасованное масло и майонез) и осуществляет продажу специализированных жиров.

Что касается шрота, то Компанией до сих пор не было полноценно реализовано ни одного проекта по его более глубокой переработке. 

❓В связи с этим возникает вопрос, **а возможна ли реализация каких-то инновационных проектов, способных сформировать добавленную стоимость подсолнечного шрота**? 

❓И какие перспективы развития рынка подсолнечного шрота и высокобелковой продукции из него в будущем?

Поиску ответов на данные вопросы посвящена эта презентация. 

❓Как Вы считаете есть ли перспективы у такого направления как холодное форпрессование? 

❓Поможет ли твердофазная ферментация сформировать добавленную стоимости на подсолнечный шрот? 

Приглашаем всех кому это интересно  к обсуждению этой темы.","Михаил Разуваев uploaded a file in the group: ""Шабашки"".",2205854129716232_2219437191691259,0,2205854129716232,Михаил Разуваев,100044238042260,1073,"""Шабашки"""
409,2021-09-03T15:57:09+0000,"Здравствуйте, коллеги  

Пусть и с опозданием, но публикую отчет о своей поездке в Новосибирск на конференцию Технопром-2021.  

На этой конференции удалось поучаствовать в пленарной сессии ""**Генетические технологии для промышленности, фармокологии и медицины"" **под председательством Академика РАН, Директора Института цитологии и генетики СО РАН Кочетова В.А. 

В рамках данной сессии я выступил с двумя докладами:   

1) **Адаптация компании к новым трендам развития на примере ЭФКО  **

2) **Проблема подготовки кадров в области генетики и генетических технологий  **

Результатом выступлений стало формирование многих новых знакомств, в том числе - с Академиком РАН, Директором Всероссийского института растениеводства Хлесткиной Е.К. В рамках этого знакомства планируется поездка делегации из Инновационного центра в Санкт-Петербург для построения дальнейшего партнерства.",,475927063334187_922405148686374,0,475927063334187,Ростислав Ковалевский,100044875515641,879,Внешние научные коммуникации
410,2021-09-02T15:14:42+0000,"📆С 29 по 31 августа в стенах мультиформатного пространства ""Точки кипения"" Омского государственного технического университета прошло Всероссийское мероприятие «Школа наставников», реализуемое «Академией наставников» при участии Агентства стратегических инициатив и Кружкового движения Национальной Технологической Инициативы.

🌐«Школа наставников» - это интенсив по практикам наставничества в проектной деятельности для молодежных команд.

Педагоги, преподаватели и научные деятели средне-специальных и высших учебных заведений, а также активные студенты города Омска, тренировали свои навыки проектной работы не только на тренингах и лекциях с опытными наставниками, но и решая сложные кейсы индустриальных партнеров.

📣На мероприятии мне посчастливилось выступать в качестве представителя нашей компании, экспертом кейса «Анализ технологий сушки рекомбинантных белков». На вводной лекции я представила кейс, а также рассказала о деятельности Инновационного центра и технологии получения белков и ферментов.

Среди участников команды не было специалистов по сушке белков, однако это не помешало участникам профессионально подойти к решению поставленных задач. На протяжении трех дней интенсивной работы я отметила ответственный и комплексный подход участников команды к решению кейса.

❗️Команда успешно защитила свой проект, а уровень его подготовки был высоко оценен экспертами интенсива. 🎉 Предложенные участниками технологии сушки рекомбинантных белков будут рассмотрены к реализации в Инновационном центре, и, возможно, дадут положительный результат для проекта биотехнологий.",Кособринова София uploaded 4 files in the group: Внешние научные коммуникации.,475927063334187_921718835421672,0,475927063334187,Кособринова София,100065356489479,1582,Внешние научные коммуникации
411,2020-12-26T09:52:40+0000,"**Добрый день, уважаемые коллеги!**

Начиная с августа 2020 года мы ведем активную деятельность в рамках проекта «Провинциальная Сибирь» в г. Томск. Мы реализуем уже существующие, а также разрабатываем новые инструменты практик по рекрутменту и узнаваемости нас как компании в г. Томск. Одним из таких инструментов является - проведение PR-акций с целью повышения лояльности бренда к компании у студентов.

В этот понедельник 21 декабря мы провели акцию: «Подзарядись хайбургером в сессию!»

Красивый брендированный фургончик ЭФКО проехал по общежитиям Томска и бесплатно раздал студентам вкусные подарки. В составе подарочного набора были: хайбургер в брендированной коробке, два йогурта «Слобода», горячий чай, листовка о компании, брендированный пакет. Также дополнительно выдавалась брендированная кружка или книга «Еда 3.0» в подарок за сторис в Instagram.

Ниже представляю Вам видеоролик, снятый на местном телевидении и отчетную презентацию по данной акции.

В свою очередь, как у уже нынешних сотрудников ГК ЭФКО очень хотела бы получить обратную связь от Вас по данной акции. Было ли бы Вам интересно посетить данное мероприятие, если бы Вы были студентом? Заинтересовались бы Вы прохождением стажировки/трудоустройством в компанию после проведения такой акции?

Ссылка на видеоролик: [https://yadi.sk/i/3xRrOIQCt2zvRg](https://l.workplace.com/l.php?u=https%3A%2F%2Fyadi.sk%2Fi%2F3xRrOIQCt2zvRg&h=AT1elaKlvFiYVLO4iCWNbvTmQBowpjZe8JlrRyoxBwtySLMdzt4ljytx6o-Ya36VTayZMD9DkR_CKo4pnz-GeWmz5Tc6uRnsE90snXe0SmXni_G4XDtKcghoX5So_IFuqlaHk4acy9WZxQ_I&__tn__=-UK-R&c[0]=AT2S5PJh4SsisJxNK1x2_oA-yt7-sSG35E8q1Z0AXtne_sBrxhQMle1cFaQ_iAHV9Jtj-k-2_vqXw2K8gxOF_tYByNonk6RRBO_9E1XBhM7aJ_C99MdW3QXGdABlZylYCTY372otVoRvldHX7WYCmF_xY1DnYnDLnxNZ07410NBpN1hV74irTbpkgjk36KqIyOl2DnRK2zRxGwm2nw)",,475927063334187_762123884714502,0,475927063334187,Наталья Переверзева,100058666929001,1781,Внешние научные коммуникации
413,2020-07-03T15:47:02+0000,"Добрый день, коллеги. Все мы знаем, что сейчас в Компании активно реализуется проект по повышению эффективности крашинга. В рамках реализации данного проекта Компания выстраивает взаимоотношения с ВУЗами и научными консультантами.

30 июня Инновационный центр посетила делегация из МГУ. В состав делегации входили Заместитель заведующего кафедрой аналитической химии МГУ Веселова Ирина Анатольевна и научные сотрудники кафедры Смирнов Евгений Алексеевич и Капитонова Олеся Олеговна. Целью визита гостей являлась оценка модели реализации проекта по разработке белковых подсолнечных изолятов в Инновационном центре. Во время визита гости посетили все лаборатории Инновационного центра🔬🧫🧪, завод по переработке семян подсолнечника в г. Алексеевке🌻, а также поучаствовали в дегустации котлет из «растительного мяса»🥩🍔.

Встреча прошла в спокойной, дружественной атмосфере, гости остались очень довольны😇. За что хотелось бы выразить благодарность всем сотрудникам, участвующим в организации встречи🏃‍♂️👏

Надеемся на дальнейшее плодотворное сотрудничество с нашими московскими коллегами🤝.",,475927063334187_630454931214732,0,475927063334187,Анастасия Демьянова,100044432799390,1084,Внешние научные коммуникации
414,2020-01-14T03:56:43+0000,"В декабре состоялась наша поездка в Китай, с визитом к производителям промышленного оборудования по ферментации шрота и солодовен. Китай встретил нас современной страной с развитой инфраструктурой и готовыми к сотрудничеству представителями компаний Myande, Arihope и Yingtai. Краткие итоги поездки вы сможете найти в презентации. Кроме этого, мы готовы ответить на все интересующие вас вопросы и рассказать о поездке более подробно.",Геннадий Мишин uploaded a file in the group: Внешние научные коммуникации.,475927063334187_512812302978996,0,475927063334187,Геннадий Мишин,100044376064615,433,Внешние научные коммуникации
415,2021-09-10T11:20:33+0000,"Всем привет!👋

Я в своей работе чаще остальных вижу безответственное отношение к материальным активам и его последствия, которые выражаться в части:

1. Безответственности при закреплении материальной ответственности 📄;

2. Безответственности в обеспечении сохранности переданного имущества 🐘🔨🧱🔬;

3. Безответственности в обеспечении точности показаний средств измерений ⏳;

4. Безответственности в обеспечении работоспособности материальных активов 🛠;

5. Безответственности в своевременности предупреждения выхода из строя материальных активов за счет несвоевременного проведения ППР.

Сегодня хочу с вами начать беседу с самого основного, задающего весь контекст ☝️ отношения к материальным активам – закрепления материально ответственности 💵🙋.

Каждый из нас сталкивался с ситуациями, когда так или иначе отсутствие «хозяина» закрепленного за какой-то материальный объект, приводит к его практически полному уничтожению 🤬. Все мы понимаем, что если не подвести человека к какой-то вещи и не сказать, что с сегодняшнего дня ты за нее отвечаешь, и не взять с него подпись на Акте, то заботиться об этой вещи не будет никто и в скором времени она превратиться в бесполезную, неработоспособную груду металла, портящую опрятность лаборатории 💩. А по сути это же ресурс, от которого напрямую зависит эффективность реализации целей лаборатории и всего проекта в целом 📉📉📉

Даже если у вас внутри не сжимается все 🥺🥺🥺от перспектив невозмоности реализовать «общее дело», то тогда напомню эгоистичную сторону вопроса важности корректного закрепления материальной ответственности: каждый МОЛ (материально ответственное лицо) отвечает за сохранность переданных ему материальных объектов размером их стоимости 💸💸💸. Так гласит закон РФ!☝️ Т.е. если я сломаю магнитную мешалку стоимостью 50 тыс.рублеей, то из моей зарплаты будут делать удержания до тех пор, пока я не компенсирую компании размер ее стоимости. В принципе тоже стимулирует к обеспечению «заботы» о ней и написанию Акта 📄🧾📑при передаче в пользование другому МОЛ.

Но на практике я часто сталкиваюсь с очень интересными моментами при закреплении и передаче материальной ответственности, обусловленных обыкновенным незнанием основных правил передачи материальной ответственности и ответственности за их нарушение 🤷🤦.

Бывают такие ситуации, когда заходишь в лабораторию, а там бегает человек  😱в поисках оборудования 🕵️‍♀️ , еще вчера стоявшего на столе…А бегает почему? Да потому что надо сейчас выполнять работы на нем, а его нет 😭.

Или заходишь проверять реестр оборудования, просишь показать анализатор влажности. А тебе в ответ: «Да он стоит в другой лаборатории. Он не на ком ни числится» 😡 (расскажу у вам в следующих статьях, почему этого в принципе быть не может).

А может быть еще и такое, что заходишь в лабораторию, а там стоит ОНО 🛸🛸🛸…

-Откуда взялось?

- Да с завода привезли.

Соответственно на это ОНО ни за кем не закреплена ответственность (ну кроме того человека, с завода,  с которого при инвентаризации удержат недостачу в размере стоимости этого оборудования), нет ни технической документации, ни инструкций по безопасным условиям эксплуатации, ни допусков к работе ☠️…

Для того, чтобы разобраться, как правильно передавать материальную ответственность, какие оформлять документы разработан рад нормативных регуляторов 📃📄📑🧾🗓🗒, описывающих алгоритм передачи материальной ответственности за материальные активы.

Предлагаю вам краткую памятку 📕📖, которая поможет разграничить обязанности и ответственность сторон при передаче материальной ответственности, избежать ошибок при передаче материальных активов, а следовательно сэкономит ваши нервы и деньги .

Хорошего вечера и спокойного сердца вам за свои мат.активы!👣👣👣",Ирина Лебедева uploaded a file in the group: Корпоративная культура.,2492972880963900_3061292750798574,0,2492972880963900,Ирина Лебедева,100044199351068,3694,Корпоративная культура
416,2021-09-03T03:53:45+0000,"Добрый день, коллеги. 

Инновационный центр не стоит не месте, активно развиваются проекты и на фоне этого к нам приходят новые сотрудники, появляются новые единицы оборудования, в том числе сложного, новые химические реактивы. А по примете Инновационного центра - новые сотрудники в сочетании с новым оборудованием и реактивами - жди новых допусков к работе с оборудованием и реактивами, причём много допусков 😉 

При этом, несмотря на то, что проведение допусков занимает не мало времени, на самом деле это ведь здорово, когда есть у кого принимать эти самые допуски, гораздо хуже когда не у кого... Но сейчас не об этом. 

Стоит отметить, что большинство вновь принятых сотрудников успешно проходят этап теоретической подготовки и сдачи теоретической части - сдают тесты - и это не может не радовать. Но! Когда дело доходит по практической части допуска, многие Наставники со своими Стажёрами, отдавая дань высокому ритму, задаваемому деятельностью Инновационного центра, в спешке подходят к нему, не имея достаточной практической подготовки - малое количество исследований, выработок и т.д., реализованных Стажёром совместно с Наставником.

Это хорошо видно, когда Стажёр подходит к ""железу"" и вдруг теряется или начинает неуверенно отвечать на вопросы практического характера, или, демонстрируя порядок работы с оборудованием или реактивом, неверно передаёт алгоритм и последовательность работы. 😓

И вот здесь кроется ощутимый риск - ведь суть практической подготовки состоит в том, чтобы у сотрудника сформировались зачатки правильного динамического стереотипа работы с оборудованием или реактивами, т.е. понимание и привычка правильной работы, которая не нанесёт вреда ни сотруднику, ни оборудованию, ни кому-либо ещё, а для этого необходима скрупулёзная работа Наставника со Стажёром в части не просто совместного выполнения работы с какой-либо единицей оборудования или реактива, а тщательная проработка процесса с пояснениями, комментариями и ответами на вопрос: Почему именно такой порядок? Зачем выполняем такую-то операцию? Почему необходимо использовать такой набор СИЗ? и т.д. 

Ведь допуск сотрудника к работе с оборудованием или реактивом, это не просто запись в Журнале, Карточке, Инструкции и т.д., это фактически разрешение на самостоятельную работу сотрудника с определённым оборудованием или реактивом. А сотрудник, не имеющий достаточного практического опыта для правильной и безопасной работы с оборудованием или реактивом, это серьёзная потенциальная угроза.😱💣

Поэтому, уважаемые товарищи Руководители структурных подразделений и Наставники, торопитесь не спеша - подходите ответственно и обдуманно к процессу подготовки наших дорогих Стажёров, чтобы потом от их действий не было мучительно больно, а наоборот, можно было пожинать плоды выполнения целевых показателей.

Ниже, хотел бы привести небольшой видеоролик. На мой взгляд хороший пример отличной практической подготовки 😉

Всем спасибо!",,2492972880963900_3055798464681336,0,2492972880963900,Комарицкий Александр,100050873682957,2921,Корпоративная культура
